I
1100 Version - data cycle 2306, build 20240704, metadata AwyXP1100. Copyright (c) 2024 Navigraph, Datasource Jeppesen

  ABC DN  3 MILBU DN 11 F 1  75 245 V456
  ABC DN  3 MILBU DN 11 F 2 245 600 UV456
  ABC DN  3 OVLED DN 11 N 2 245 600 UL683
  ABC DN  3 POGVO DN 11 N 2 245 600 UL684
  ABC DN  3 VONSO DN 11 N 1  55 245 H335
  ABC DN  3 XUVLA DN 11 N 2 245 600 UT475
ABDAB DT 11 ICANI DT 11 F 2 245 460 UN157
ABDAB DT 11   TUC DT  3 F 1   0 245 A743-L44
ABDAB DT 11   TUC DT  3 F 2 245 600 UA743-UL44
ABDAD UE 11 BEGEL UE 11 N 1 235 540 G231
ABDAD UE 11 BEGEL UE 11 N 2 235 540 G231
ABDAD UE 11 LALUG UE 11 N 1  95 265 G493
ABDAD UE 11 LALUG UE 11 N 2 265 540 M172
ABDAD UE 11 ODANA UE 11 N 1 235 540 G231
ABDAD UE 11 ODANA UE 11 N 2 235 540 G231
ABDAD UE 11 OGROD UE 11 N 1  95 265 G493
ABDAG UE 11 TEMGA UE 11 N 1  55 265 G491
ABDAG UE 11 UMGAT UE 11 N 1  55 265 G491
ABDAM UA 11 GALKI UA 11 N 1 120 510 T649
ABDAM UA 11 GALKI UA 11 N 2 120 510 T649
ABDAM UA 11 LAGMO UA 11 N 1 120 510 T649
ABDAM UA 11 LAGMO UA 11 N 2 120 510 T649
ABDAM UA 11 MIKSA UA 11 N 1 120 510 Z584
ABDAM UA 11 MIKSA UA 11 N 2 120 510 Z584
ABDAM UA 11 PIVAL UA 11 N 1 120 510 Z584
ABDAM UA 11 PIVAL UA 11 N 2 120 510 Z584
ABDAN UT 11 BODBA UT 11 N 1  90 490 A909
ABDAN UT 11 BODBA UT 11 N 2  90 490 A909
ABDAN UT 11 BUROT UT 11 N 1 120 490 B114
ABDAN UT 11 BUROT UT 11 N 2 120 490 B114
ABDAN UT 11 MAVAX UT 11 N 1  70 490 A846
ABDAN UT 11 MAVAX UT 11 N 2  70 490 A846
ABDAN UT 11 NINOP UT 11 N 1  90 490 A909
ABDAN UT 11 NINOP UT 11 N 2  90 490 A909
ABDAN UT 11 RUBAD UT 11 N 1  70 490 A846
ABDAN UT 11 RUBAD UT 11 N 2  70 490 A846
ABDAN UT 11 SOTID UT 11 N 1  40 490 R433
ABDAN UT 11 SOTID UT 11 N 2  40 490 R433
ABDAN UT 11 TENGA UT 11 N 1  40 490 A118
