uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
9PW095,PW4170,Pratt & Whitney,TF,4.86,33.8,311400,0.0,0.0,0.05,0.83,0.18,0.18,1.17,14.04,31.4,22.84,12.49,4.18,3.019,2.45,0.833,0.255,1048.0,,,,
1PW051,PW4256,Pratt & Whitney,TF,4.7,29.3,252400,0.11,0.17,0.25,0.66,0.08,0.14,0.9,11.6,32.5,24.6,11.6,5.0,2.449,1.981,0.647,0.188,813.0,,,,
1PW052,PW4460,Pratt & Whitney,TF,4.5,32.4,266900,0.1,0.03,0.14,1.66,0.37,0.51,1.78,20.32,32.8,24.7,12.0,4.9,2.647,2.085,0.703,0.213,887.0,,,,
1PW053,PW4x50,Pratt & Whitney,TF,5.0,25.39,222400,0.09,0.1,0.19,6.8,0.53,0.62,2.33,36.91,25.69,21.77,11.13,3.69,2.027,1.683,0.579,0.193,747.0,,,,
1PW054,PW4x52,Pratt & Whitney,TF,5.0,26.32,231300,0.08,0.1,0.17,6.02,0.52,0.6,2.15,34.54,27.02,22.54,11.41,3.77,2.127,1.757,0.6,0.198,774.0,,,,
1PW055,PW4x56,Pratt & Whitney,TF,4.8,28.37,249100,0.08,0.09,0.16,4.75,0.48,0.56,1.89,29.96,30.44,24.24,11.97,3.93,2.351,1.912,0.643,0.208,830.0,,,,
1PW056,PW4x58,Pratt & Whitney,TF,4.8,29.49,258000,0.08,0.09,0.15,4.29,0.44,0.53,1.82,28.08,32.51,25.22,12.25,3.99,2.482,1.993,0.665,0.213,859.0,,,,
5PW074,PW4X58,Pratt & Whitney,TF,4.8,28.41,258000,0.0,0.0,0.0,1.7,0.2,0.3,3.8,24.3,22.5,18.0,11.1,4.3,2.496,1.999,0.663,0.212,859.0,,,,
1PW058,PW4x62,Pratt & Whitney,TF,4.4,33.4,275800,0.1,0.06,0.14,1.53,0.35,0.49,1.69,19.51,36.3,25.7,12.2,4.9,2.858,2.161,0.725,0.217,918.0,,,,
7PW083,PW6122A,Pratt & Whitney,MTF,4.8,25.7,98310,0.0,0.001,0.001,0.006,0.74,0.72,3.99,24.68,17.04,13.4,5.95,3.08,1.047,0.86,0.304,0.109,401.0,,,,
7PW084,PW6124A,Pratt & Whitney,MTF,4.8,28.0,105870,0.0,0.002,0.001,0.002,0.68,0.81,3.69,25.19,21.03,15.85,6.88,3.58,1.169,0.939,0.325,0.114,429.0,,,,
1RR003,RB211-22B,Rolls-Royce plc,TF,4.7,25.0,182500,0.15,0.25,5.96,67.75,0.78,1.68,20.65,88.99,37.33,26.89,8.18,2.86,1.877,1.546,0.566,0.225,770.0,,,,
1RR005,RB211-524B,Rolls-Royce plc,TF,4.5,28.4,218500,0.39,0.26,0.7,1.95,0.7,0.33,1.56,12.39,52.3,38.2,9.8,4.2,2.21,1.79,0.63,0.24,855.0,,,,
